zonal-monthly-mean surface air temperature from ERA5 

Reference for ERA5: Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N. (2023): ERA5 monthly averaged data on single levels from 1940 to present. Copernicus Climate Change Service (C3S) Climate Data Store (CDS), DOI: 10.24381/cds.f17050d7 (Accessed on 28-02-2024) 
 
Latitude	0	1	2	3	4	5	6	7	8	9	10	11
-44.25	284.79	285.19	284.71	283.73	282.5	281.36	280.74	280.5	280.57	281.27	282.36	283.71
-44.0	285.01	285.42	284.93	283.94	282.7	281.56	280.93	280.68	280.76	281.46	282.56	283.92
-43.75	285.23	285.64	285.15	284.15	282.9	281.75	281.12	280.87	280.95	281.65	282.76	284.13
-43.5	285.45	285.87	285.37	284.36	283.1	281.94	281.31	281.05	281.13	281.83	282.96	284.34
-43.25	285.68	286.1	285.59	284.57	283.3	282.14	281.5	281.23	281.32	282.03	283.16	284.55
-43.0	285.9	286.32	285.81	284.78	283.5	282.33	281.68	281.41	281.49	282.21	283.36	284.76
-42.75	286.12	286.54	286.03	284.98	283.69	282.51	281.86	281.58	281.67	282.39	283.55	284.97
-42.5	286.33	286.76	286.24	285.18	283.88	282.7	282.04	281.75	281.84	282.57	283.74	285.17
-42.25	286.53	286.97	286.45	285.38	284.07	282.88	282.21	281.91	282.0	282.73	283.91	285.36
-42.0	286.73	287.18	286.65	285.58	284.26	283.06	282.38	282.08	282.16	282.89	284.08	285.54
-41.75	286.96	287.42	286.88	285.79	284.47	283.26	282.57	282.27	282.35	283.09	284.28	285.76
-41.5	287.19	287.65	287.11	286.01	284.67	283.45	282.76	282.45	282.54	283.28	284.49	285.98
-41.25	287.44	287.9	287.36	286.24	284.88	283.66	282.96	282.65	282.74	283.48	284.7	286.21
-41.0	287.68	288.15	287.6	286.47	285.1	283.87	283.16	282.85	282.94	283.69	284.92	286.43
-40.75	287.91	288.39	287.83	286.69	285.32	284.08	283.37	283.05	283.14	283.89	285.13	286.65
-40.5	288.14	288.62	288.06	286.91	285.52	284.28	283.56	283.25	283.33	284.08	285.33	286.87
-40.25	288.36	288.84	288.28	287.11	285.72	284.47	283.74	283.43	283.51	284.27	285.53	287.08
-40.0	288.58	289.06	288.5	287.32	285.91	284.64	283.91	283.6	283.69	284.45	285.72	287.28
-39.75	288.8	289.28	288.72	287.52	286.1	284.82	284.08	283.77	283.87	284.63	285.91	287.48
-39.5	288.99	289.48	288.91	287.7	286.27	284.98	284.23	283.93	284.02	284.79	286.08	287.66
-39.25	289.18	289.67	289.1	287.87	286.43	285.14	284.38	284.08	284.17	284.95	286.24	287.84
-39.0	289.39	289.88	289.29	288.05	286.6	285.29	284.53	284.23	284.34	285.12	286.42	288.03
-38.75	289.59	290.08	289.48	288.22	286.75	285.43	284.67	284.37	284.49	285.28	286.6	288.22
-38.5	289.79	290.27	289.67	288.38	286.89	285.56	284.79	284.51	284.64	285.43	286.77	288.4
-38.25	289.99	290.47	289.85	288.55	287.03	285.69	284.91	284.64	284.78	285.59	286.93	288.58
-38.0	290.17	290.65	290.03	288.71	287.18	285.82	285.04	284.77	284.92	285.74	287.09	288.76
-37.75	290.35	290.83	290.2	288.86	287.31	285.95	285.16	284.89	285.05	285.87	287.24	288.92
-37.5	290.53	291.01	290.37	289.02	287.46	286.08	285.29	285.02	285.18	286.02	287.39	289.09
