Selection of zonal-annual-mean climate variables from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	Surface Air Temperature (K)	Precipitation (kg m-2 s-1)	Snowfall (kg m-2 s-1)	Evaporation (kg m-2 s-1)	Incoming Shortwave Radiation TOA (W m-2)	Outgoing Shortwave Radiation TOA (W m-2)	Incoming Shortwave Radiation SFC (W m-2)	Outgoing Shortwave Radiation SFC (W m-2)	Outgoing Longwave Radiation TOA (W m-2)	Incoming Longwave Radiation SFC (W m-2)	Outgoing Longwave Radiation SFC (W m-2)	Sensible Heat Flux (W m-2)	Latent Heat Flux (W m-2)
-41.93717277486911	284.89861635806176	3.549517544320293e-05	7.684085688938543e-08	3.200667057716686e-05	320.14234776986063	112.80614471216724	144.83517130510265	8.77758107610852	230.73145653659353	331.1289821959776	379.69050366066364	17.404248923109712	80.04884432827238
-40.99476439790576	285.6150756175478	3.49822812553609e-05	5.799459250526875e-08	3.373150099876563e-05	324.10138866410045	111.30467541299453	149.85745864628294	9.051253178257557	232.9013824446488	333.535216355302	384.051642181681	18.39350271898074	84.36259540634998
-40.05235602094241	286.2395672907023	3.4234974795489416e-05	3.925328359131865e-08	3.493184542231345e-05	327.99581913804354	109.29821797357121	155.4254147312231	9.34512646980663	235.13402839601133	335.564140060271	387.84847128439895	19.092446184121698	87.36461138713614
-39.109947643979055	286.8203921259121	3.3569059307760475e-05	2.7410032594912964e-08	3.5853828965381064e-05	331.8265292878492	107.39377249517398	160.95551984855575	9.741854568587408	237.34549237830456	337.3792499151041	391.35932948479734	19.570477346374027	89.67049088134635
-38.167539267015705	287.36112835630075	3.2912395844744284e-05	2.772049051980473e-08	3.648148188905139e-05	335.58828116067104	105.48477289411395	166.82200737486147	10.49453677102674	239.58622048335897	338.81868644450174	394.5886761050173	20.379966734514042	91.24023675304547
-37.225130890052355	287.9730956161476	3.219129431375708e-05	3.724248455915352e-08	3.730911908340517e-05	339.28147166657124	102.92777983591799	173.1389430059545	10.990736682342432	241.9383891578424	340.17944410803113	398.284733350716	21.029522787446655	93.3101518322135
-36.282722513089006	288.52952124179046	3.131601256561657e-05	4.4701341884566754e-08	3.784487179232097e-05	342.90304396067575	100.27896545581442	179.35423362925718	11.36156088135921	244.27068895621565	341.5297160751743	401.5973510585129	21.16953355728751	94.65010431248145
-35.340314136125656	289.05722119295075	3.0377074774375955e-05	3.477082446947749e-08	3.821190205145755e-05	346.4512279679024	97.99914181136286	185.2046481371688	11.861456672608218	246.55474177269085	342.8654442565082	404.6527094440954	21.205607892034568	95.56807488326523
-34.397905759162306	289.5517673633814	2.947631617971979e-05	2.3306123786800534e-08	3.7985351358217426e-05	349.92516998838255	96.28673328436672	190.66512247572206	12.632471720508242	248.7857669289036	344.0554688010368	407.59980706193136	22.378598663359565	95.00151507814068
-33.455497382198956	289.99971051429503	2.869218332521483e-05	1.9179635217051455e-08	3.773155288471922e-05	353.32195532618766	94.490792878868	196.45902310872185	13.634952901120961	250.99754424922543	344.865949069492	410.52461452504457	24.575444748731858	94.36669437106363
