<<<<<<< HEAD
Multi-Model LGM-PI SAT reconstruction from PMIP3 & PMIP4 
PMIP3 MAT Global Mean: -4.71C 
PMIP3 MAP Global Mean: -0.29 
PMIP4 MAT Global Mean: -4.77C 
PMIP4 MAP Global Mean: -0.33 
Reference: Soured data from: Kageyama, M., Harrison, S. P., Kapsch, M.-L., Lofverstrom, M., Lora, J. M., Mikolajewicz, U., Sherriff-Tadano, S., Vadsaria, T., Abe-Ouchi, A., Bouttes, N., Chandan, D., Gregoire, L. J., Ivanovic, R. F., Izumi, K., LeGrande, A. N., Lhardy, F., Lohmann, G., Morozova, P. A., Ohgaito, R., Paul, A., Peltier, W. R., Poulsen, C. J., Quiquet, A., Roche, D. M., Shi, X., Tierney, J. E., Valdes, P. J., Volodin, E., and Zhu, J.: The PMIP4 Last Glacial Maximum experiments: preliminary results and comparison with the PMIP3 simulations, Clim. Past, 17, 1065–1089, https://doi.org/10.5194/cp-17-1065-2021, 2021. 

lat	pmip3_mat_mean	pmip3_map_mean	pmip4_mat_mean	pmip4_map_mean	pmip_mat_max	pmip_mat_min	pmip_map_max	pmip_map_min
-8.5	-2.6226792072112786	-0.2473279336823059	-2.4572826928553875	-0.2780664413965873	-1.497251356238698	-3.9406315789473685	1.2368219178082192	-0.9669641503934713
-7.5	-2.641680218141741	-0.33796545462619965	-2.4817567621312646	-0.336130433587727	-1.5190072202166065	-3.961684210526316	1.0662054794520548	-1.0238883707373945
-6.5	-2.6613617074159714	-0.4236798533045244	-2.5091857879585104	-0.3983165440110543	-1.5424729241877255	-3.9806878306878306	0.6650365296803653	-1.087011524244401
-5.5	-2.674756111742618	-0.47821241084829774	-2.527349518034039	-0.4487012219911495	-1.5659386281588448	-3.9915094339622645	0.08143608526847851	-1.1124953250706675
-4.5	-2.6750158467023715	-0.4955625878226922	-2.548176648174279	-0.4685783858201915	-1.5894043321299638	-4.013072776280324	0.0452514361467079	-1.111133381398702
-3.5	-2.660711652724079	-0.4349969996390048	-2.564076742323564	-0.45042733483770103	-1.61	-4.04	-0.0012496685815289454	-1.024759913482336
-2.5	-2.650241756284188	-0.35576410017052457	-2.5702627970695726	-0.41171061608494014	-1.5814285714285714	-4.1	0.09881506849315068	-0.9244211060375445
-1.5	-2.650080960204967	-0.28219628511068146	-2.5831953207733	-0.3998323108296549	-1.5742857142857143	-4.12	0.31156849315068497	-0.8601511268228016
-0.5	-2.65473588624647	-0.23535903883627524	-2.6011874888627915	-0.40736807536378355	-1.5785714285714287	-4.140000000000001	0.4777260273972603	-0.8222147591692444
0.5	-2.6643260093047867	-0.2018482953626066	-2.6077486813499746	-0.4378845444151552	-1.5714285714285714	-4.122	0.5972876712328767	-0.8139223579447109
1.5	-2.6796000930010098	-0.23406693152632807	-2.6017200353288135	-0.5190581801028921	-1.5757142857142858	-4.066	0.4839315068493151	-0.8412876712328766
2.5	-2.702606434463221	-0.3496479730284372	-2.602395937850658	-0.6212100011953197	-1.582857142857143	-4.075525606469003	0.13765753424657534	-1.08786301369863
3.5	-2.7222126698434566	-0.5001305566691012	-2.5942345781055725	-0.7572035303149961	-1.59	-4.099784366576819	-0.079429076447194	-1.5934063926940638
4.5	-2.74568008342197	-0.6667818913227318	-2.58398792179834	-0.8915034210200928	-1.6068772563176896	-4.1240431266846365	-0.1688678745028723	-2.170794520547945
5.5	-2.7558235789767824	-0.8247696248876557	-2.576589468546554	-0.9525295433721257	-1.605072202166065	-4.148301886792453	-0.29237181996086103	-2.640707762557078
6.5	-2.7525220480253636	-0.9572247542675569	-2.5756142306030436	-0.9210002152086811	-1.6032671480144405	-4.119919137466308	-0.24650480909355876	-2.793566210045662
7.5	-2.757960799834062	-0.9915583425686719	-2.5797554675937806	-0.8183456671765157	-1.601462093862816	-4.087574123989219	-0.0011640921014281769	-2.6325068493150683
8.5	-2.7705927912505466	-0.9586425312205505	-2.585855170906358	-0.7013189389647217	-1.6106509945750453	-4.05522911051213	0.1762602739726028	-2.2654885844748858
9.5	-2.77874987570308	-0.8623094352335096	-2.599112844589041	-0.532277054360475	-1.6506417112299465	-4.014582210242588	0.49769315068493153	-1.594511415525114
10.5	-2.784084813491081	-0.7410738170293532	-2.608936361769683	-0.4307449349227682	-1.5841935483870968	-3.946	0.6330739726027397	-1.1882906993511173
11.5	-2.7844072812306773	-0.6026813771926055	-2.6071249885558196	-0.38030276667601765	-1.4766666666666666	-3.898	0.43407123287671234	-1.0302806056236482
12.5	-2.788431368920863	-0.4779492866626919	-2.6073326662469176	-0.34869264468348593	-1.403903743315508	-3.85	0.23506849315068493	-0.9795691743664693
13.5	-2.814378945634762	-0.38288267333086773	-2.642596015998547	-0.30252179906357896	-1.3878609625668448	-3.91	0.1595945205479452	-0.9322318610815229
14.5	-2.849683773354706	-0.3039697060754245	-2.6987980868044734	-0.2618467609656436	-1.4293548387096773	-3.97	0.11709456473707468	-0.8749825429009446
15.5	-2.884132189024049	-0.251914704192239	-2.764475667301186	-0.2436691543118664	-1.5261290322580645	-4.042	0.11660848431285903	-0.8136651006379506
16.5	-2.9098449987800423	-0.21621722158222345	-2.8275140861268935	-0.23471119255703538	-1.6434224598930482	-4.126	0.16662806926854493	-0.7523476583749567
17.5	-2.945817568953585	-0.18890577167452244	-2.893890180561063	-0.22756983146729404	-1.7098571428571427	-4.21	0.15475050769855628	-0.6910302161119627
18.5	-2.9921131094422817	-0.1679283176083012	-2.938854224408947	-0.22195128128999642	-1.7382857142857142	-4.2540000000000004	0.11346261492449138	-0.6297127738489687
19.5	-3.0373990782681357	-0.15344754574663058	-2.9827269654303494	-0.21897669721488516	-1.7626428571428572	-4.298	0.07217472215042647	-0.5755878542109688
20.5	-3.101093881374709	-0.13961395028853227	-3.0268311171134408	-0.23551534973404858	-1.7895	-4.352	0.03391286046597497	-0.57420810048959
21.5	-3.1670199659869227	-0.13358863689585124	-3.074485668158461	-0.2505682943996824	-1.8395000000000001	-4.416	0.026247535354281287	-0.5728283467682113
22.5	-3.222138792158947	-0.14086375444810445	-3.1186924139251606	-0.2551562363823683	-1.8161428571428573	-4.48	0.018582210242587605	-0.5714485930468325
23.5	-3.277036343810767	-0.14162575933339658	-3.164672959226818	-0.25724704919458763	-1.7927857142857144	-4.5440000000000005	0.010916885130893925	-0.5700688393254537
24.5	-3.333965448188611	-0.1374372856059904	-3.219371988413582	-0.2575853823129565	-1.7999285714285715	-4.608	-0.0031212938005390654	-0.5686890856040749
25.5	-3.4060208137396555	-0.13758318294207028	-3.2855932913256605	-0.2536232903854153	-1.8282857142857143	-4.702	-0.027557286858915186	-0.5572874734187231
26.5	-3.5012648447658976	-0.14068358666721179	-3.3639308599071733	-0.24638616195805765	-1.8610714285714285	-4.826	-0.0519932799172913	-0.5386286533801494
27.5	-3.646289717957268	-0.13924204893244055	-3.472439912239656	-0.22883236054646286	-1.9088652482269504	-4.95	-0.010738560186534601	-0.5199698333415756
28.5	-3.8129862861947745	-0.12990338663193876	-3.650067465756616	-0.21440619552147736	-2.0081560283687945	-5.386	0.021205479452054782	-0.5013110133030019
29.5	-3.9560318141604736	-0.12154991373499578	-3.8021736120641094	-0.20651416033270034	-2.080142857142857	-5.822	0.06847260273972602	-0.4826521932644281
30.5	-4.067089009887405	-0.13385938892316304	-3.92170812978144	-0.20346051370942886	-2.130857142857143	-6.152	0.061856164383561646	-0.46504653577963506
31.5	-4.188276622580425	-0.148578511803614	-4.018857117393182	-0.21402857179789408	-2.1594285714285717	-6.3759999999999994	0.048068493150684934	-0.47271677958557934
32.5	-4.3283468634070354	-0.15798705566934676	-4.118184395436597	-0.2294552780139741	-2.111	-6.6	0.027109589041095894	-0.48038702339152367
33.5	-4.511921719822329	-0.16539435073427813	-4.303658228039063	-0.21401516504769583	-2.160428571428571	-6.9719999999999995	0.0013013698630137006	-0.48805726719746795
34.5	-4.717160951279641	-0.1766580254557496	-4.478847743706758	-0.20601728047517337	-2.2664285714285715	-7.344	-0.017842028563101093	-0.5001259087087682
35.5	-4.9179310784056804	-0.20528551896767275	-4.677014753036611	-0.21471007371574743	-2.302142857142857	-7.74	0.012181871174584916	-0.5132657138618268
36.5	-5.1232039633311075	-0.24108855030181456	-4.9028064290555315	-0.24999733480578415	-2.365714285714286	-8.16	-0.01237608966376093	-0.5170562560380491
37.5	-5.376702419962744	-0.2801600344394349	-5.163389102131967	-0.29021519511517835	-2.4561428571428574	-8.58	-0.02707098381070984	-0.5165578632100947
38.5	-5.6666262377418795	-0.3083819787607696	-5.5009283756084875	-0.3040717714601769	-2.5775714285714284	-9.248	-0.05396111356606263	-0.5059388144368203
39.5	-5.982325845342751	-0.32301914777351254	-5.849876848738764	-0.3134617157540758	-2.727	-9.916	-0.06288289880689353	-0.510024451318309
40.5	-6.3189723543594845	-0.3330332440562635	-6.210317952521303	-0.3179030490952618	-2.9308571428571426	-10.518	-0.05601113471540546	-0.5690069229636177
41.5	-6.655118731572867	-0.33489921274357015	-6.5987931549622285	-0.31782186241029414	-3.169857142857143	-11.054	-0.05960061533953557	-0.5654128737663868
